row_index,relative_path,category,byte_size,sha256
0,A-Line/1-1.tif,A-Line,16358,41d87c7b002fe3c881d6343382c8db1075b26f9a1d4a3bf529e482402de156f6
1,A-Line/1-10.tif,A-Line,9394,5df0c71069943944ac62ff2f4b88d8c94d46908e76088930d234b25173125ec8
2,A-Line/1-2.tif,A-Line,13580,b00165b9ab9ac2f45b3937cf2c11143293420755b6896c5df408facc4fdd73ee
3,A-Line/1-3.tif,A-Line,12818,55a169cfb702938522724ce274dcd4222b9eb9696223094bda548b37547ff361
4,A-Line/1-4.tif,A-Line,15418,fbaf9b9f56e5074d1553497d532534641a235383435d1f6416dde2b558550795
5,A-Line/1-5.tif,A-Line,15096,c18def8ccab6d18e1e8bd935958a89739275d80064f478f33869652f369096e6
6,A-Line/1-6.tif,A-Line,16276,cedd01e81292d634979805d9660a3c7d47a604d0199cedc726345203f7805aba
7,A-Line/1-7.tif,A-Line,16868,f54209d052d7ab06cb8e9c830d24f0946daa83545848eab6500a8231d43ea0d4
8,A-Line/1-8.tif,A-Line,12680,50c9c9ffa14436529c1daca0a3922f1b8c1ea6cb0c0fd719ec1976a70fda310d
9,A-Line/1-9.tif,A-Line,13586,92f0675a24d57a0d926a55582e7f31f687942cfecbf874c49ffcce23501d967e
10,A-Line/10-1.tif,A-Line,11240,0bcd8d6a50e4450bbce6446091cdef2d94878538ac3977a271ae689209797081
11,A-Line/10-10.tif,A-Line,8584,d05179ed1c17007e15e1f54b70d9f7b5b69f16ae8716e97ec9de3714ab2822f9
12,A-Line/10-2.tif,A-Line,10142,957f99ed26877bcc0a8f6e19a47f0fd7ee790b4e58e884565b7a405df57a3d35
13,A-Line/10-3.tif,A-Line,10962,d863c30683276a61872d559b828a2acb260708883abbb219dc6c240bedb4c947
14,A-Line/10-4.tif,A-Line,10840,6a0f2277aef51cecf9dc052459d82c13cd43643f5fe7f23cf105aadc06b38e73
15,A-Line/10-5.tif,A-Line,14280,a932b796328867f92818585119a1db02ccb3f9ccdd54b44756efadd0e8e725f1
16,A-Line/10-6.tif,A-Line,10882,13e8a4aff1e0b53b0efe930aba867e4803cc8df6e8a6def85c2bc918ec093cad
17,A-Line/10-7.tif,A-Line,10102,9c173143c88228bdf2f51d41607bb8b028228aac025b11ccb951520cfc9ac27f
18,A-Line/10-8.tif,A-Line,9042,f8c3ec2608081c5e86d0684f5fd660723ce30a028ad68ded56f266af27dcb2c3
19,A-Line/10-9.tif,A-Line,9470,2894b02b7795b56bd17abe29ea2afc8ede076a270e07b9eb72fbe64424a8f0da
20,A-Line/2-1.tif,A-Line,12142,a58bed99594082872a2c7325db4dcc40284e1a923f73e0c840034d32055c1eda
21,A-Line/2-10.tif,A-Line,12628,98ad5373bcd5120ac4830947bb37f0623b2e71716866d85c9d02fca5cf347b16
22,A-Line/2-2.tif,A-Line,10908,9be82776943830d016b3b22cba066cb0376f84990326731a3ba498bf2202a664
23,A-Line/2-3.tif,A-Line,9598,20db3e1e669bd6e79852b36a16bb3775b696d0c44c1def4674620545e4e2fd53
24,A-Line/2-4.tif,A-Line,11260,1d01c077ec2e3e009316517ba94feec1216cd02e24a320cc7a70511bd16eabe8
25,A-Line/2-5.tif,A-Line,11838,7560667c18b210b5ee950c3d89ff631becb4f19ad30db0275ea18acba92e020b
26,A-Line/2-6.tif,A-Line,11086,f289694e6a7837a60e2d28cb9673b6b0b9b0960288be808cfb132a367c285153
27,A-Line/2-7.tif,A-Line,10898,1c17bef9b11fd150d69d38ed27790c5de49c1f3c040cca95a5439977350ab62b
28,A-Line/2-8.tif,A-Line,8918,1d6fda8fa65f1a47e941802adcdf3f45241968ddda1943be0d0795af87412da7
29,A-Line/2-9.tif,A-Line,10278,d15a06d167c90085c8c008eeaf7fbf43b3259b0bb2963cc01ffdce637507efa4
30,A-Line/3-1.tif,A-Line,18028,4bea57e8db49b6a04dbe332a4f178987122e791ceedb769cebb80e84809ce63a
