,value
M_macro_f1,0.29778797162313025
MRA_macro_f1,0.3357646054136369
delta_macro_f1,0.03797663379050664
bootstrap_f1_ci_low,0.020242327657486844
bootstrap_f1_ci_high,0.0558524949406823
M_balanced_accuracy,0.2982608695652173
MRA_balanced_accuracy,0.3360869565217391
delta_balanced_accuracy,0.03782608695652179
bootstrap_BA_ci_low,0.019999949815580877
bootstrap_BA_ci_high,0.05623888607104625
radial_delta_macro_f1,0.02675167700264175
axial_delta_macro_f1,0.0022987268166763664
axial_after_radial_delta_macro_f1,0.011224956787864893
repeat_mean_delta_macro_f1,0.03225279854129517
repeat_sd_delta_macro_f1,0.00680492382128087
repeat_positive,10.0
repeat_total,10.0
fold_positive,44.0
fold_total,50.0
alignment_null_mean_delta_macro_f1,0.04289600582532102
alignment_p_macro_f1,0.7626186906546727
alignment_null_mean_delta_BA,0.042258347826086964
alignment_p_BA,0.7296351824087957
alignment_identity_misalignment_fraction,0.973913
