repeat,seed,M_macro_f1,MR_macro_f1,MRA_macro_f1,delta_R_macro_f1,delta_full_macro_f1,M_balanced_accuracy,MR_balanced_accuracy,MRA_balanced_accuracy,delta_R_balanced_accuracy,delta_full_balanced_accuracy
1,20260820,0.3072856822595561,0.33878679365410735,0.3409216398104464,0.03150111139455125,0.03363595755089027,0.30869565217391304,0.3408695652173913,0.3434782608695652,0.032173913043478275,0.03478260869565214
2,20260821,0.2884664452499717,0.32317007741133574,0.3317414484155971,0.03470363216136402,0.04327500316562538,0.2891304347826087,0.32347826086956516,0.33304347826086955,0.03434782608695647,0.04391304347826086
3,20260822,0.30032152793532946,0.3316651821431181,0.3380864607666213,0.03134365420778862,0.03776493283129184,0.3021739130434783,0.33217391304347826,0.3382608695652174,0.02999999999999997,0.0360869565217391
4,20260823,0.31233612529437055,0.32628962387138316,0.3329559326269854,0.013953498577012613,0.02061980733261487,0.3130434782608696,0.3269565217391305,0.33260869565217394,0.01391304347826089,0.019565217391304346
5,20260824,0.2979113631100395,0.32778651988466406,0.3333047897401233,0.029875156774624545,0.03539342663008377,0.2995652173913044,0.33,0.3334782608695652,0.030434782608695643,0.03391304347826085
6,20260825,0.3049061553390516,0.33231042084613527,0.33151253524904606,0.02740426550708369,0.026606379909994482,0.30652173913043473,0.33304347826086955,0.3308695652173913,0.026521739130434818,0.02434782608695657
7,20260826,0.3008793446484355,0.32728344614943067,0.32727344257204033,0.026404101500995147,0.02639409792360481,0.3026086956521739,0.32826086956521744,0.3269565217391304,0.02565217391304353,0.024347826086956514
8,20260827,0.29771778995967957,0.33595313529681947,0.3337421411514728,0.0382353453371399,0.03602435119179326,0.29913043478260876,0.3365217391304348,0.33478260869565213,0.03739130434782606,0.03565217391304337
9,20260828,0.30913373378489445,0.33212818360800134,0.33630250628659636,0.02299444982310689,0.02716877250170191,0.3104347826086956,0.33304347826086955,0.3378260869565218,0.022608695652173938,0.027391304347826162
10,20260829,0.2931336328808483,0.32521893021204845,0.3287788892561994,0.032085297331200135,0.0356452563753511,0.29391304347826086,0.32565217391304346,0.32956521739130434,0.0317391304347826,0.03565217391304348
