repeat,seed,feature_set,fold,macro_f1,balanced_accuracy
1,20260820,M,1,0.3010980312069486,0.3
1,20260820,M,2,0.2752270649938388,0.2753841124550507
1,20260820,M,3,0.311569335140982,0.3260869565217391
1,20260820,M,4,0.3042869581229427,0.3105590062111801
1,20260820,M,5,0.32797063498546863,0.33157894736842103
1,20260820,M+R,1,0.30688938058221393,0.31086956521739134
1,20260820,M+R,2,0.3240909941286276,0.3274436090225564
1,20260820,M+R,3,0.3328997256599999,0.34782608695652173
1,20260820,M+R,4,0.358607309448928,0.37153209109730845
1,20260820,M+R,5,0.3411230255246502,0.34713958810068657
1,20260820,M+R+A,1,0.31446604431060715,0.32391304347826083
1,20260820,M+R+A,2,0.32240240482630667,0.3250735534488394
1,20260820,M+R+A,3,0.32266514825944276,0.3369565217391305
1,20260820,M+R+A,4,0.35894254266684694,0.36935817805383026
1,20260820,M+R+A,5,0.35605672545493816,0.36235697940503436
2,20260821,M,1,0.25693352688315574,0.2568649885583524
2,20260821,M,2,0.29192456655502996,0.29592459409393046
2,20260821,M,3,0.3125183361758208,0.3217391304347826
2,20260821,M,4,0.2771099561150444,0.2807780320366133
2,20260821,M,5,0.29130024102232943,0.29089026915113875
2,20260821,M+R,1,0.30649069587233113,0.3068649885583524
2,20260821,M+R,2,0.3082251468485217,0.31073880353056554
2,20260821,M+R,3,0.3614371789206082,0.3673913043478261
2,20260821,M+R,4,0.319537693361054,0.32700228832951944
2,20260821,M+R,5,0.3060552983054363,0.3059006211180125
2,20260821,M+R+A,1,0.3058460151273479,0.3069794050343249
2,20260821,M+R+A,2,0.3408910549846521,0.34791326141440554
2,20260821,M+R+A,3,0.35066271467149296,0.36086956521739133
2,20260821,M+R+A,4,0.33356748646281426,0.3419908466819222
2,20260821,M+R+A,5,0.304575703418387,0.30797101449275366
3,20260822,M,1,0.27572413458148193,0.2873324615887545
3,20260822,M,2,0.30846949331668505,0.3149068322981366
3,20260822,M,3,0.317236420385132,0.317353165522502
3,20260822,M,4,0.3072686742761121,0.3130434782608696
3,20260822,M,5,0.2729976740689626,0.2782608695652174
3,20260822,M+R,1,0.30495395325044683,0.31125640187425085
3,20260822,M+R,2,0.35166582332895757,0.35610766045548653
3,20260822,M+R,3,0.35197018523739276,0.35889724310776944
3,20260822,M+R,4,0.30843237221752196,0.31521739130434784
3,20260822,M+R,5,0.31826400194882315,0.31956521739130433
3,20260822,M+R+A,1,0.32287134499311604,0.33116486869347284
3,20260822,M+R+A,2,0.3442355417562754,0.34720496894409936
3,20260822,M+R+A,3,0.32673397454113373,0.33497330282227306
3,20260822,M+R+A,4,0.32993319195952997,0.33695652173913043
3,20260822,M+R+A,5,0.34042976356315074,0.341304347826087
4,20260823,M,1,0.3213833752846646,0.3200773673313719
4,20260823,M,2,0.30932369950610655,0.3130434782608696
4,20260823,M,3,0.2807114357317148,0.2822981366459627
4,20260823,M,4,0.32015078583078765,0.33043478260869563
4,20260823,M,5,0.3194593511767793,0.32016999019287345
4,20260823,M+R,1,0.3598021098364771,0.3570447858777378
4,20260823,M+R,2,0.2944302583525315,0.30434782608695654
4,20260823,M+R,3,0.29066663338626236,0.2953416149068323
4,20260823,M+R,4,0.33938480498023144,0.3521739130434782
4,20260823,M+R,5,0.3302570789622141,0.3265664160401003
4,20260823,M+R+A,1,0.3724427216805712,0.3698485343794269
4,20260823,M+R+A,2,0.29351025089566024,0.3
4,20260823,M+R+A,3,0.3044608402550505,0.3062111801242236
4,20260823,M+R+A,4,0.35366014187720707,0.3652173913043478
4,20260823,M+R+A,5,0.3284014822840746,0.3222294867603792
5,20260824,M,1,0.2737731284706379,0.28240165631469977
5,20260824,M,2,0.31239069856000645,0.31613272311212814
5,20260824,M,3,0.31965453320719867,0.32173913043478264
5,20260824,M,4,0.2998114964486173,0.29782608695652174
5,20260824,M,5,0.2704427383532575,0.2804674730304021
5,20260824,M+R,1,0.28540952295899297,0.2933747412008281
5,20260824,M+R,2,0.34635532920183115,0.35526315789473684
