category,corrected_garment_id,fold_id,n_sketches
A-Line,A-Line__G01,0,10
A-Line,A-Line__G02,0,10
A-Line,A-Line__G03,1,10
A-Line,A-Line__G04,1,10
A-Line,A-Line__G05,2,10
A-Line,A-Line__G06,2,10
A-Line,A-Line__G07,3,10
A-Line,A-Line__G08,3,10
A-Line,A-Line__G09,4,10
A-Line,A-Line__G10,4,10
Bermuda,Bermuda__G01,0,10
Bermuda,Bermuda__G02,0,10
Bermuda,Bermuda__G03,1,10
Bermuda,Bermuda__G04,1,10
Bermuda,Bermuda__G05,2,10
Bermuda,Bermuda__G06,2,10
Bermuda,Bermuda__G07,3,10
Bermuda,Bermuda__G08,3,10
Bermuda,Bermuda__G09,4,10
Bermuda,Bermuda__G10,4,10
Blouse,Blouse__G01,0,10
Blouse,Blouse__G02,0,10
Blouse,Blouse__G03,1,10
Blouse,Blouse__G04,1,10
Blouse,Blouse__G05,2,10
Blouse,Blouse__G06,2,10
Blouse,Blouse__G07,3,10
Blouse,Blouse__G08,3,10
Blouse,Blouse__G09,4,10
Blouse,Blouse__G10,4,10
Cardigan,Cardigan__G01,0,10
Cardigan,Cardigan__G02,0,10
Cardigan,Cardigan__G03,1,10
Cardigan,Cardigan__G04,1,10
Cardigan,Cardigan__G05,2,10
Cardigan,Cardigan__G06,2,10
Cardigan,Cardigan__G07,3,10
Cardigan,Cardigan__G08,3,10
Cardigan,Cardigan__G09,4,10
Cardigan,Cardigan__G10,4,10
Circle,Circle__G01,0,10
Circle,Circle__G02,0,10
Circle,Circle__G03,1,10
Circle,Circle__G04,1,10
Circle,Circle__G05,2,10
Circle,Circle__G06,2,10
Circle,Circle__G07,3,10
Circle,Circle__G08,3,10
Circle,Circle__G09,4,10
Circle,Circle__G10,4,10
Dress,Dress__G01,0,10
Dress,Dress__G02,0,10
Dress,Dress__G03,1,10
Dress,Dress__G04,1,10
Dress,Dress__G05,2,10
Dress,Dress__G06,2,10
Dress,Dress__G07,3,10
Dress,Dress__G08,3,10
Dress,Dress__G09,4,10
Dress,Dress__G10,4,10
Flare,Flare__G01,0,10
Flare,Flare__G02,0,10
Flare,Flare__G03,1,10
Flare,Flare__G04,1,10
Flare,Flare__G05,2,10
Flare,Flare__G06,2,10
Flare,Flare__G07,3,10
Flare,Flare__G08,3,10
Flare,Flare__G09,4,10
Flare,Flare__G10,4,10
Harem,Harem__G01,0,10
Harem,Harem__G02,0,10
Harem,Harem__G03,1,10
Harem,Harem__G04,1,10
Harem,Harem__G05,2,10
Harem,Harem__G06,2,10
Harem,Harem__G07,3,10
Harem,Harem__G08,3,10
Harem,Harem__G09,4,10
Harem,Harem__G10,4,10
Hoodie,Hoodie__G01,0,10
Hoodie,Hoodie__G02,0,10
Hoodie,Hoodie__G03,1,10
Hoodie,Hoodie__G04,1,10
Hoodie,Hoodie__G05,2,10
Hoodie,Hoodie__G06,2,10
Hoodie,Hoodie__G07,3,10
Hoodie,Hoodie__G08,3,10
Hoodie,Hoodie__G09,4,10
Hoodie,Hoodie__G10,4,10
Jacket,Jacket__G01,0,10
Jacket,Jacket__G02,0,10
Jacket,Jacket__G03,1,10
Jacket,Jacket__G04,1,10
Jacket,Jacket__G05,2,10
Jacket,Jacket__G06,2,10
Jacket,Jacket__G07,3,10
Jacket,Jacket__G08,3,10
Jacket,Jacket__G09,4,10
Jacket,Jacket__G10,4,10
Jumpsuit,Jumpsuit__G01,0,10
Jumpsuit,Jumpsuit__G02,0,9
Jumpsuit,Jumpsuit__G03,1,10
Jumpsuit,Jumpsuit__G04,1,10
Jumpsuit,Jumpsuit__G05,2,10
Jumpsuit,Jumpsuit__G06,2,11
Jumpsuit,Jumpsuit__G07,3,10
Jumpsuit,Jumpsuit__G08,3,10
Jumpsuit,Jumpsuit__G09,4,10
Jumpsuit,Jumpsuit__G10,4,10
Mermaid,Mermaid__G01,0,10
Mermaid,Mermaid__G02,0,10
