row_index,relative_path,category,historical_garment_id,corrected_garment_id,historical_fold_id,corrected_fold_id,override_applied
0,A-Line/1-1.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
1,A-Line/1-10.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
2,A-Line/1-2.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
3,A-Line/1-3.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
4,A-Line/1-4.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
5,A-Line/1-5.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
6,A-Line/1-6.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
7,A-Line/1-7.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
8,A-Line/1-8.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
9,A-Line/1-9.tif,A-Line,A-Line__G01,A-Line__G01,0,0,no
10,A-Line/10-1.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
11,A-Line/10-10.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
12,A-Line/10-2.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
13,A-Line/10-3.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
14,A-Line/10-4.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
15,A-Line/10-5.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
16,A-Line/10-6.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
17,A-Line/10-7.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
18,A-Line/10-8.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
19,A-Line/10-9.tif,A-Line,A-Line__G10,A-Line__G10,4,4,no
20,A-Line/2-1.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
21,A-Line/2-10.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
22,A-Line/2-2.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
