replicate,delta_macro_f1,delta_balanced_accuracy
0,0.031675412515647206,0.03391304347826085
1,0.05143101471284095,0.05302195436934992
2,0.032844501617989075,0.03224489795918373
3,0.04909210720415097,0.046521739130434864
4,0.036512582066800914,0.036956521739130443
5,0.050909173089871584,0.04956521739130443
6,0.05884667002326999,0.058354997758852556
7,0.05364830382475838,0.05217391304347829
8,0.05408115142690251,0.0543133878605252
9,0.040743703992531355,0.04133948177426433
10,0.040784601902177586,0.042657004830917944
11,0.04474921578922264,0.04644855789926816
12,0.04913747274027608,0.048256564786913536
13,0.04428039165837511,0.0443873517786561
14,0.040673943290021636,0.03909169177787333
15,0.06186720886110769,0.061739130434782574
16,0.03780498034262658,0.0360869565217391
17,0.05412974652177727,0.0509003074220466
18,0.039734412821963994,0.03789196310935439
19,0.043496470229205275,0.04091219096334189
20,0.047250868277321,0.048730786122090475
21,0.031014844851029233,0.030133096716947638
22,0.05508281057230033,0.057709857942315895
23,0.02844851755639366,0.028639690055962175
24,0.03759300137357452,0.03884649511978705
25,0.03274959857015741,0.029565217391304355
26,0.03296762184167923,0.031239776151528065
27,0.054666859873391094,0.052535514421007345
28,0.04408745552635762,0.04265306122448981
29,0.05036495476931652,0.05310935441370218
30,0.054031625990915266,0.05343951786482992
31,0.04582002838154481,0.04530522617479149
32,0.03752450698957732,0.03689684569479973
33,0.0708028414209394,0.07207161125319694
34,0.054324601382399196,0.05258717176065436
35,0.03868897385760556,0.03652173913043488
36,0.05104269590892291,0.049130434782608756
37,0.04094483623828793,0.04209718670076723
38,0.03910773031368764,0.040835126990959925
39,0.04973931954299837,0.05173913043478251
40,0.032931056576553375,0.033000430477830356
41,0.05560997729153694,0.05772378516624038
42,0.030361709499540368,0.029999999999999916
43,0.04863467671875027,0.05043478260869577
44,0.02998871206082554,0.02826086956521745
45,0.035116820027833506,0.03299282397636133
46,0.05832249392120065,0.05521739130434783
47,0.060085997366476684,0.05865690916917776
48,0.04242257984393005,0.04217391304347823
49,0.05489683550031654,0.05739130434782608
50,0.040539053459224095,0.039139218269653
51,0.04539229225424857,0.04851836217813432
52,0.04962911669675951,0.04821351700387427
53,0.028024875628241797,0.032173913043478164
54,0.05089950059056994,0.054718037021093374
55,0.03516541015037855,0.03782608695652179
56,0.04923126050968135,0.046470081790787765
57,0.04787139536658025,0.049316770186335346
58,0.03715925967519662,0.03565217391304354
59,0.054639562961096455,0.051847826086956594
60,0.05457761034403513,0.05321206743566992
61,0.038370305118166304,0.03911777121148169
62,0.04613942362310297,0.047391304347826124
63,0.060695523429481035,0.059513560051657366
64,0.046136200362316304,0.04710443747198567
65,0.047414831672529245,0.050018115942028984
66,0.023063265310364123,0.024782608695652242
67,0.060721711745580165,0.06130434782608696
68,0.043559708494051996,0.04391304347826086
69,0.03642348601563719,0.03793588054457622
70,0.057651558553420856,0.05797692990239578
71,0.04105518041027839,0.045157124408093
72,0.03193446967298502,0.03393061045234963
73,0.04265558422963811,0.04391304347826097
74,0.03714143389986696,0.03922266139657443
75,0.04665631557662547,0.04558760223848474
76,0.040228701036398196,0.04132209405501325
77,0.04642604041543558,0.04434782608695642
78,0.03778635467133051,0.03913043478260875
79,0.05271344844848086,0.05266139657443997
80,0.029385368093986564,0.030426173052087835
81,0.04023408743511048,0.04086956521739127
82,0.04319742749362421,0.04264382960035129
83,0.04212329541086335,0.042608695652173956
84,0.030600081973791327,0.027826086956521834
85,0.051563918885340065,0.05184014053579278
86,0.03272962492115372,0.03085665088247952
87,0.03915538809560454,0.03999999999999998
88,0.027462462489769968,0.027826086956521723
89,0.04133680574588394,0.041739130434782556
90,0.04793060185143416,0.04889735544598833
91,0.032281003127211494,0.0317391304347826
92,0.03560072445797774,0.03439799331103677
93,0.03636571765840246,0.037888198757764
94,0.04069710867299958,0.04126990959965565
95,0.04622276766840705,0.04393061045234964
96,0.05090952034736951,0.05444005270092228
97,0.044762159067064766,0.0461440491875274
98,0.04665190307685546,0.04833992094861661
99,0.03876833571697513,0.03916556873078619
100,0.04015758614845172,0.03916592724046142
101,0.05011491801263346,0.05113972140143519
102,0.02484077500873505,0.022135922330097035
103,0.03803310476102284,0.040057092665788274
104,0.04598336400462277,0.04473145780051152
105,0.03279572564280081,0.03090469916556876
106,0.040346950805324966,0.03918422232182883
107,0.05246130097026902,0.05130434782608695
108,0.0334707083421697,0.03260869565217395
109,0.036802585374259844,0.03561343090830821
110,0.043810965138785685,0.04125699526474391
111,0.03609252152265785,0.035324966382787926
112,0.04342570167320642,0.04304347826086957
113,0.055844946643992754,0.057826086956521805
114,0.034315757947337544,0.039547998278088636
115,0.0492979484459774,0.04822212656048219
116,0.03268679767226762,0.03347826086956529
117,0.04100113042331743,0.041244080929832116
118,0.040799375852493824,0.03954799827808875
119,0.04159002716164234,0.0413131313131313
120,0.037513048450128594,0.038619670747150614
121,0.04097465353364732,0.04086956521739127
122,0.03854862601999065,0.040869565217391324
123,0.03418279317720618,0.033013344812742096
124,0.05504218664520738,0.055204476969436034
125,0.03635363302657435,0.03655248133509004
126,0.042447809421214566,0.044398976982097216
127,0.03978562503475158,0.03783039173482561
128,0.037508026275328954,0.03570541259982257
129,0.04780233270299189,0.04727195225916453
130,0.053073137450094954,0.05217391304347829
131,0.03920270012964672,0.03995264743865684
132,0.036740368236466425,0.03595055413469739
133,0.039529877848290484,0.03815956099620105
134,0.048687341589769395,0.04809624314056565
135,0.046539460822120904,0.04308300395256909
136,0.03493242434684701,0.033984028393966303
137,0.03626474471935043,0.03604433077578856
138,0.051740678672863194,0.05212276214833761
139,0.03403561455334225,0.03478260869565214
140,0.0463509609615263,0.04518295307791648
141,0.03775943694977185,0.03831357048748352
142,0.03734366993479937,0.03736495388669303
143,0.04342591004003432,0.0426086956521739
144,0.04789315986116044,0.04701800614844093
145,0.034306829922330195,0.032608695652173836
146,0.05014750278061064,0.05169650468883208
147,0.04391819544244979,0.04004830917874397
148,0.03856966678366702,0.03908780903665815
149,0.04301710926953495,0.04134826526130869
150,0.031641452862072705,0.03177426438295994
151,0.04271411552287546,0.04397013614404921
152,0.0359245631127722,0.04043478260869571
153,0.048895370658222304,0.04814151747655582
154,0.040712900978303435,0.03952722667792319
155,0.04812705958322133,0.04833992094861658
156,0.03550223126417368,0.03521739130434781
157,0.03048659871215187,0.032552733534223
158,0.029289134689309604,0.02869565217391301
159,0.04446340030789525,0.04608695652173911
160,0.03517308674785474,0.034409310496267054
161,0.0490958701650947,0.05401952085181899
162,0.04468122337399377,0.04220904699165562
163,0.04560209762997841,0.04391743522178304
164,0.04821493211430322,0.049130434782608756
165,0.04968139310943198,0.04956521739130426
166,0.04537717782286721,0.04524813350900314
167,0.03927993604569002,0.037445091887046145
168,0.05202317594532094,0.05406388642413487
169,0.04229706093140562,0.041304347826086996
170,0.03983550188140006,0.039604743083004046
171,0.07673283520977833,0.07833113746157222
172,0.032947296662686365,0.030922266139657484
173,0.03218371191835778,0.03434782608695647
174,0.04097419453997808,0.040869565217391324
175,0.037592943945235435,0.03743961352657005
176,0.05413850118904462,0.0547826086956521
177,0.052798016466308384,0.050865260439087456
178,0.06149988107505949,0.06179183135704869
179,0.04718436329287956,0.04652173913043478
180,0.060328793342702525,0.05913043478260871
181,0.05853028953179279,0.06086956521739134
182,0.02089020557320348,0.021304347826086922
183,0.05308301567841445,0.053043478260869636
184,0.0422744484569621,0.040953177257525064
185,0.04092345153914956,0.04341005967604433
186,0.050714071099184355,0.048304787000439164
187,0.03663772960484046,0.03826086956521735
188,0.04076004164343938,0.03916556873078603
189,0.03944136934973813,0.0388021295474712
190,0.03980810345019531,0.04180061484409314
191,0.03384792247882845,0.032617305208781755
192,0.041543316500510075,0.042583120204603586
193,0.04190528859645726,0.042608695652173845
194,0.01988289601324522,0.023043478260869443
195,0.05307271036289374,0.0547826086956521
196,0.04220831592052454,0.04089618456078087
197,0.03743520859333038,0.03609126130004309
198,0.048119692801409486,0.04700483091787433
199,0.041351889793601604,0.04173052087817469
200,0.04505881745562146,0.04956521739130437
201,0.03722624697378246,0.03739130434782617
202,0.03621765329243409,0.03306104523495834
203,0.037212419912548644,0.036013775290572536
204,0.040682876667372136,0.04092226613965738
205,0.03663225704142331,0.03950554134697365
206,0.04011894267175786,0.040514640638864285
207,0.03710466257340733,0.03521739130434781
208,0.04154909061480133,0.03952647438656909
209,0.04158880660645925,0.0416378218657662
210,0.023854784640797655,0.026157224418093927
211,0.044305792747104056,0.04355731225296444
212,0.04347569586809069,0.040809889173060554
213,0.04128375162658787,0.04208866155157709
214,0.03363554423842674,0.03434782608695658
215,0.03143205718892128,0.0304347826086957
216,0.05043690412786095,0.05098491570541264
217,0.04852666870492586,0.04924022837066322
218,0.04026837540203837,0.03984803714647539
219,0.03997804474976424,0.03869565217391302
220,0.02992058261778452,0.029130434782608794
221,0.0325141956022163,0.03270531400966181
222,0.06225835480403885,0.06083943176926382
223,0.03142972588970572,0.033961352657004895
224,0.03838249021219886,0.03906586310804999
225,0.02064930136357357,0.022706299911268824
226,0.05087195112381798,0.05094055013309673
227,0.030290039918934697,0.032635314995563436
228,0.021659895926702144,0.019157054125998163
229,0.04216613189141577,0.045191562634524285
230,0.03192254162648234,0.029539388721480875
231,0.04741068972521295,0.046482996125699505
232,0.03527542602611783,0.036148440931049575
233,0.06261608859749968,0.059587176108915174
234,0.031515555607887435,0.032122762148337536
235,0.048078477036424205,0.04695652173913045
236,0.03427095560263155,0.03483530961791831
237,0.0287759504006751,0.02956521739130441
238,0.03925820091290633,0.03852514919011085
239,0.0520543796867165,0.05005709266578834
240,0.040152126387648424,0.03875713658322344
241,0.053351682751628604,0.054347826086956486
242,0.033918411359463385,0.033935002195871755
243,0.04219935460370994,0.04129556433904258
244,0.03406818839403164,0.036086956521739044
245,0.03778717512024787,0.03726466863655559
246,0.038307349238244914,0.03913043478260869
247,0.05601771061396399,0.05609574000878348
248,0.052811117806689956,0.05302195436934998
249,0.03783144064263011,0.0369565217391305
250,0.04886856703809078,0.04972826086956528
251,0.040828301032229064,0.03907075873827792
252,0.03624698866696435,0.0382784365393061
253,0.04310702062768701,0.04695652173913034
254,0.04667748479440986,0.0468030690537084
255,0.05888757742444645,0.057551020408163345
256,0.03900519276364178,0.04206308610400683
257,0.03912659558675796,0.03736572890025569
258,0.042803744373279884,0.03913043478260875
259,0.025074544360033868,0.023478260869565226
260,0.06068000706940796,0.06304347826086965
261,0.04161993956781418,0.04124838570813594
262,0.03158732535396497,0.033123336291038086
263,0.0442544530431247,0.04565217391304349
264,0.040032814324274524,0.04078431372549024
265,0.04778259678062863,0.04731812311665945
266,0.04714913649038255,0.043917435221782986
267,0.048567965260617074,0.04739130434782601
268,0.04584987070716562,0.04476504172156348
269,0.033819580665013504,0.03395740905057687
270,0.06017604790556991,0.05836734693877549
271,0.03619563946826476,0.036086956521739155
272,0.03612873458915844,0.03556692242114223
273,0.042158561215646984,0.04618357487922714
274,0.04935433917101473,0.04777493606138111
275,0.05191141920539877,0.05275066548358465
276,0.03839696168208595,0.039053708439897694
277,0.05332789115813269,0.05217391304347829
278,0.04935474264568068,0.049052948773138205
279,0.039223680127443705,0.04050065876152831
280,0.03496101438642718,0.03521739130434781
281,0.044233771552216916,0.0438874680306906
282,0.03285755779388827,0.03304347826086956
283,0.04703134592430813,0.04821782178217826
284,0.043167465559042495,0.04428325441239778
285,0.058379128203023656,0.05734395178648294
286,0.049784977516768136,0.048656909169177864
287,0.03688783545099841,0.0342642140468227
288,0.04237060739203374,0.04173913043478261
289,0.049555368193675675,0.051304347826087005
290,0.03701483061744154,0.03913043478260875
291,0.0312924474235296,0.03216538789428808
292,0.03881404655295606,0.04010757507844015
293,0.04902945005000575,0.04733534222987512
294,0.03364732849201285,0.03133017649591047
295,0.040232791960821745,0.037813172621609964
296,0.03147820035201182,0.030413258717176095
297,0.03901685567761415,0.03775788576300082
298,0.04270101718007541,0.045709266578831786
299,0.06012451183317752,0.05563442768411708
300,0.06011732257027236,0.05869565217391304
301,0.05047875581743133,0.04912182522600089
302,0.038423731035835684,0.0355924978687126
303,0.03966662141683425,0.03955669224211422
304,0.049714865366482175,0.05173913043478262
305,0.04592241006903053,0.0474088713219149
306,0.05683344947250091,0.056862745098039236
307,0.04854618042060749,0.04814689742507389
308,0.04295338527273512,0.04126560482135161
309,0.05195836189436209,0.053557312252964395
