seed,delta_macro_f1,delta_balanced_accuracy,positive_folds_macro_f1
20260820,0.031928711047001734,0.03260869565217389,5
20260821,0.02193814427143964,0.021739130434782594,5
20260822,0.033570286474989164,0.033478260869565235,5
20260823,0.02518301656868671,0.02565217391304353,5
20260824,0.0202135788017917,0.018695652173913058,5
20260825,0.029702767563745014,0.030434782608695587,5
20260826,0.02199924032553674,0.023913043478260898,4
20260827,0.0359100659669781,0.036086956521739155,5
20260828,0.03576022190181061,0.038260869565217404,5
20260829,0.020557040265962445,0.02086956521739136,4
