condition,fold,test_rows,m_macro_f1,m_balanced_accuracy,aug_macro_f1,aug_balanced_accuracy,delta_macro_f1,delta_balanced_accuracy
RAW,0,459,0.27895111497872926,0.2921052631578948,0.30746854943645086,0.3273455377574371,0.02851743445772159,0.035240274599542265
RAW,1,460,0.326859854709675,0.3282608695652174,0.3444505002445671,0.34130434782608693,0.01759064553489209,0.013043478260869545
RAW,2,461,0.2957078073079341,0.30828157349896473,0.32874777782593667,0.3365424430641822,0.03303997051800256,0.02826086956521745
RAW,3,460,0.28021696458984796,0.2847826086956522,0.2939026406240589,0.29130434782608694,0.013685676034210947,0.006521739130434745
RAW,4,460,0.26616844189157046,0.2695652173913043,0.31057968984314704,0.308695652173913,0.04441124795157658,0.03913043478260869
CLEAN,0,459,0.2654366533777254,0.2755148741418764,0.3124255495913966,0.3299771167048055,0.04698889621367125,0.054462242562929086
CLEAN,1,460,0.3001741917661338,0.29782608695652174,0.34763096457352466,0.34347826086956523,0.04745677280739086,0.04565217391304349
CLEAN,2,461,0.25413590156562615,0.2667701863354037,0.2880524585316851,0.2996894409937888,0.03391655696605894,0.03291925465838508
CLEAN,3,460,0.23754497690785037,0.2391304347826087,0.27646039498707004,0.2782608695652174,0.038915418079219666,0.03913043478260869
CLEAN,4,460,0.28084637145680025,0.28695652173913044,0.32204413914364305,0.32826086956521744,0.0411977676868428,0.041304347826086996
