row_index,relative_path,category,corrected_garment_id,corrected_fold_id,clean_image_relative_path,clean_png_sha256,target_text_status,other_text_visible,review_note
0,A-Line/1-1.tif,A-Line,A-Line__G01,0,images/0000.png,f7dc5af74868a56d5bee9cce0934ea09f86d0be30fd949e2a1469d87aa24cdef,NONE,False,
1,A-Line/1-10.tif,A-Line,A-Line__G01,0,images/0001.png,230e426b087a63ac2fa4f18957d4967dfa9150da33586b8177f7852964f2ed40,NONE,False,
2,A-Line/1-2.tif,A-Line,A-Line__G01,0,images/0002.png,81bb1d111d59b55b3d15169940f2ab65f5437a28408f3b6624a003193dfd72af,NONE,False,
3,A-Line/1-3.tif,A-Line,A-Line__G01,0,images/0003.png,fc9c91bf9df8838a216c938e3ca15cef4873e3a8ca2ce081449a9c54b27ae7c0,NONE,False,
4,A-Line/1-4.tif,A-Line,A-Line__G01,0,images/0004.png,4cb8905a7ffa57df0202074efde535cb9879e67ae5a3c8ead26a2f34a0522992,NONE,False,
5,A-Line/1-5.tif,A-Line,A-Line__G01,0,images/0005.png,de10a79c80a8f65769f8b05c4b27c8bc2f272aff2bfc070467e4778514aa7472,NONE,False,
6,A-Line/1-6.tif,A-Line,A-Line__G01,0,images/0006.png,ea751c2eba2adb53fd71cd80841e2c24948f1fa12f698b49c37baf53bf0ca371,NONE,False,
7,A-Line/1-7.tif,A-Line,A-Line__G01,0,images/0007.png,dd7b3b3dd3d66453d87178604ae78a457810f046549f8298652363ad587da521,NONE,False,
8,A-Line/1-8.tif,A-Line,A-Line__G01,0,images/0008.png,23f30cf500ce8fa3f5b4d1d738de1b385d6518c8df71c169278aebb1ed94e123,NONE,False,
9,A-Line/1-9.tif,A-Line,A-Line__G01,0,images/0009.png,86b1ece223e4b04cbb612613a60812ad534a4b843e15bf5ae5e27d8cc800b246,NONE,False,
10,A-Line/10-1.tif,A-Line,A-Line__G10,4,images/0010.png,a2c850471a7651f50fa46e0146c576edbd28a075ad81afe9d26681dab212ccea,NONE,False,
11,A-Line/10-10.tif,A-Line,A-Line__G10,4,images/0011.png,7fe7b02ff6fe8cffaab3d40947cd9101fe0280833cec6745b7947a4cdcf748ff,NONE,False,
12,A-Line/10-2.tif,A-Line,A-Line__G10,4,images/0012.png,c7e7d21ecfe9eafcb5c20bbf1ef23fd11a208fe42181ea03aa797581fded0652,NONE,False,
13,A-Line/10-3.tif,A-Line,A-Line__G10,4,images/0013.png,6467b3c99124bc99229e48479a9c8bf0d3c394a19b13c4f8d572a6e16950cb18,NONE,False,
