permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
0,0.04934099820970528,0.050000000000000044,20
1,0.046796332511188976,0.04657004830917866,20
2,0.03122399004407872,0.02898550724637683,20
3,0.03829999526989358,0.03840579710144926,20
4,0.033867745009397765,0.034057971014492705,20
5,0.033141521211302816,0.03280193236714973,20
6,0.053393040907306843,0.05072463768115937,20
7,0.04177319286503567,0.040917874396135256,20
8,0.04017549006717386,0.03647342995169078,20
9,0.04224601894609237,0.04125603864734295,20
10,0.040544000198347085,0.04077294685990335,20
11,0.04184324922080229,0.04178743961352649,20
12,0.025928704782381573,0.02468599033816421,20
13,0.0342258803873598,0.03212560386473429,20
14,0.05512212408656614,0.05550724637681148,20
15,0.04650357757336632,0.04560386473429956,20
16,0.04756193170122541,0.04608695652173905,20
17,0.045526402647854736,0.04391304347826086,20
18,0.047887129970033415,0.047584541062801966,20
19,0.042994310121288626,0.042463768115941936,20
20,0.033587328915828385,0.03164251207729468,20
21,0.037051771336531314,0.037053140096618364,20
22,0.05938821925182741,0.0583091787439613,20
23,0.03541681893914694,0.0354589371980677,20
24,0.04006001557989042,0.03980676328502408,20
25,0.04588297255418611,0.04589371980676321,20
26,0.039520986305568884,0.03806763285024145,20
27,0.03554257208236944,0.03487922705314006,20
28,0.04049870388328469,0.04004830917874391,20
29,0.04942009088160626,0.05091787439613521,20
30,0.04087903616402094,0.04183574879227048,20
31,0.04140003998059544,0.039516908212560375,20
32,0.03372837591040295,0.032850241545893666,20
33,0.04526017094359114,0.04458937198067631,20
34,0.04130375345313991,0.04004830917874397,20
35,0.03590978125543404,0.034202898550724614,20
36,0.027883457708678394,0.02743961352657004,20
37,0.04387990153584109,0.04251207729468598,20
38,0.03836088966478357,0.03734299516908207,20
39,0.0334551541847411,0.033719806763284954,20
40,0.04284412731376197,0.044396135265700465,20
41,0.029575896073129715,0.028019323671497565,20
42,0.05697048547584571,0.056859903381642485,20
43,0.04570168117622864,0.04376811594202901,20
44,0.03241637305606243,0.033816425120772875,20
45,0.04097141511385183,0.03884057971014482,20
46,0.03963955920641893,0.03826086956521735,20
47,0.04507969026171832,0.04550724637681153,20
48,0.04399006558662544,0.043816425120772884,20
49,0.03888036061910782,0.0384057971014492,20
50,0.040826814487914864,0.03922705314009661,20
51,0.0363363791995196,0.03647342995169073,20
52,0.03601344181665378,0.03516908212560382,20
53,0.033428326470577086,0.03294685990338164,20
54,0.035534060285775604,0.03579710144927528,20
55,0.05051744564312988,0.04937198067632842,20
56,0.04848650009523642,0.04888888888888887,20
57,0.03766829428394147,0.037004830917874376,20
58,0.04394012136504716,0.04516908212560389,20
59,0.046030719853108526,0.04483091787439608,20
60,0.0424830837853753,0.04241545893719806,20
61,0.033405110808115146,0.03299516908212563,20
62,0.03617725143372286,0.03555555555555551,20
63,0.045343971991104404,0.044299516908212544,20
64,0.04555615414870001,0.04309178743961345,20
65,0.03472679280982388,0.03362318840579703,20
66,0.04683181781910539,0.04463768115942024,20
67,0.02354114311760508,0.022367149758454052,20
68,0.03272736470015053,0.031159420289855078,20
69,0.03634705629867563,0.036908212560386455,20
70,0.03739183898178994,0.03719806763285016,20
71,0.046951013088763316,0.04608695652173905,20
72,0.0472667983368108,0.04681159420289849,20
73,0.046491605342071585,0.04497584541062799,20
74,0.04221213840660537,0.040338164251207675,20
75,0.043887091046811155,0.04198067632850233,20
76,0.04303546354448318,0.042850241545893786,20
77,0.03387163076586053,0.03492753623188405,20
78,0.03443007303952528,0.032608695652173836,20
79,0.048638652803492055,0.046763285024154555,20
80,0.048652369578269294,0.04661835748792259,20
81,0.040116694679106835,0.039033816425120715,20
82,0.042752788663719565,0.04294685990338165,20
83,0.03761649473576012,0.03516908212560388,20
84,0.04661886329708692,0.04555555555555557,20
85,0.04591260024150168,0.044637681159420295,20
86,0.04172079644791565,0.04019323671497588,20
87,0.042678168572665764,0.0411111111111111,20
88,0.03875336788537792,0.037391304347826004,20
89,0.04496787104850697,0.04386473429951687,20
90,0.03363277443629137,0.0342028985507245,20
91,0.04092900120428067,0.03966183574879223,20
92,0.03668248496904114,0.03463768115942023,20
93,0.0459051372225861,0.046859903381642476,20
94,0.04269591178805021,0.041932367149758454,20
95,0.028256992460590602,0.02608695652173909,20
96,0.03996403362905643,0.040000000000000036,20
97,0.03316512888085804,0.03531400966183568,20
98,0.04493292009872801,0.04468599033816428,20
