seed,delta_macro_f1,delta_balanced_accuracy,positive_folds_macro_f1,fold_0_rows,fold_1_rows,fold_2_rows,fold_3_rows,fold_4_rows
20260820,0.03277650702657703,0.03439613526570057,5,460,441,460,460,459
20260821,0.028806608136916267,0.02869565217391301,5,440,459,460,460,461
20260822,0.03488825796803663,0.0345893719806763,5,451,460,449,460,460
20260823,0.029616849900855335,0.030144927536231936,5,449,460,450,460,461
20260824,0.022970840243009216,0.022367149758454108,5,460,459,450,460,451
20260825,0.029987875597083435,0.030628019323671485,5,460,460,460,440,460
20260826,0.023611056601096025,0.02589371980676325,4,460,441,460,460,459
20260827,0.0303729593278792,0.030917874396135303,4,460,461,450,459,450
20260828,0.03933804395661061,0.0411111111111111,5,450,460,460,450,460
20260829,0.02563297167677242,0.025217391304347747,5,461,449,450,460,460
