feature_set,fold,train_rows,test_rows,macro_f1,balanced_accuracy
HOG,0,1841,459,0.6375247452062304,0.6441157240928408
HOG,1,1840,460,0.6610154958625927,0.6695652173913043
HOG,2,1838,462,0.6158410564349966,0.6232919254658384
HOG,3,1840,460,0.660779711288509,0.6673913043478261
HOG,4,1841,459,0.6439494218531002,0.6493135011441646
HOG+RA14,0,1841,459,0.6376613165966485,0.6441157240928408
HOG+RA14,1,1840,460,0.6568697376117617,0.6652173913043478
HOG+RA14,2,1838,462,0.6216287245728757,0.6298136645962732
HOG+RA14,3,1840,460,0.6637320338971077,0.6695652173913044
HOG+RA14,4,1841,459,0.6442400120214504,0.6493135011441646
