row_index,image_path_runtime,image_path_resolved,category,garment_id,fold_id
0,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-1.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-1.tif,A-Line,A-Line__G01,0
1,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-10.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-10.tif,A-Line,A-Line__G01,0
2,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-2.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-2.tif,A-Line,A-Line__G01,0
3,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-3.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-3.tif,A-Line,A-Line__G01,0
4,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-4.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-4.tif,A-Line,A-Line__G01,0
5,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-5.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-5.tif,A-Line,A-Line__G01,0
6,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-6.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-6.tif,A-Line,A-Line__G01,0
7,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-7.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-7.tif,A-Line,A-Line__G01,0
8,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-8.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-8.tif,A-Line,A-Line__G01,0
9,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-9.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/1-9.tif,A-Line,A-Line__G01,0
10,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-1.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-1.tif,A-Line,A-Line__G10,4
11,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-10.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-10.tif,A-Line,A-Line__G10,4
12,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-2.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-2.tif,A-Line,A-Line__G10,4
13,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-3.tif,/content/drive/MyDrive/FashionAI/datasets/Clo-Sket/Clo-Sket/A-Line/10-3.tif,A-Line,A-Line__G10,4
