permutation_index,master_seed,permutation_eligible_identities,structurally_fixed_identities,actually_reassigned_identities,all_2300_destination_rows_filled_once,all_2300_source_rows_used_once,category_preserved,block_size_preserved,singleton_strata_fixed,macro_f1_L,macro_f1_L_plus_G_permuted,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G_permuted,delta_balanced_accuracy,max_iterations_L_plus_G,converged_L_plus_G
1,20260822,228,2,214,True,True,True,True,True,0.7380200305882273,0.7479493138190811,0.009929283230853847,0.7417391304347827,0.7517391304347827,0.010000000000000009,35,True
2,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7577553300169206,0.019735299428693343,0.7417391304347827,0.7617391304347825,0.019999999999999796,36,True
3,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7533598538648496,0.01533982327662231,0.7417391304347827,0.7565217391304347,0.014782608695652066,34,True
4,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7490048375397492,0.01098480695152193,0.7417391304347827,0.7526086956521738,0.01086956521739113,37,True
5,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7528547285537511,0.014834697965523835,0.7417391304347827,0.7569565217391303,0.015217391304347627,34,True
6,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7539590513939683,0.015939020805741055,0.7417391304347827,0.7573913043478262,0.01565217391304352,36,True
7,20260822,228,2,198,True,True,True,True,True,0.7380200305882273,0.753297487904447,0.015277457316219656,0.7417391304347827,0.7565217391304347,0.014782608695652066,35,True
8,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7501693332050084,0.012149302616781155,0.7417391304347827,0.7539130434782608,0.012173913043478146,35,True
9,20260822,228,2,212,True,True,True,True,True,0.7380200305882273,0.7461259286430951,0.008105898054867833,0.7417391304347827,0.7495652173913043,0.00782608695652165,34,True
10,20260822,228,2,200,True,True,True,True,True,0.7380200305882273,0.7544255672048495,0.01640553661662225,0.7417391304347827,0.7582608695652174,0.016521739130434754,35,True
11,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7527626646196128,0.014742634031385538,0.7417391304347827,0.7565217391304347,0.014782608695652066,32,True
12,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7606549432878643,0.022634912699637022,0.7417391304347827,0.7643478260869566,0.022608695652173938,36,True
13,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7546825404624267,0.01666250987419937,0.7417391304347827,0.7582608695652177,0.016521739130434976,34,True
14,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7537887021260751,0.015768671537847778,0.7417391304347827,0.7573913043478262,0.01565217391304352,37,True
15,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7534349106161623,0.015414880027935007,0.7417391304347827,0.7573913043478262,0.01565217391304352,34,True
16,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7432276424909676,0.005207611902740328,0.7417391304347827,0.7469565217391304,0.005217391304347729,35,True
17,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7490272897042133,0.01100725911598599,0.7417391304347827,0.7526086956521738,0.01086956521739113,33,True
18,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7533485881358386,0.01532855754761131,0.7417391304347827,0.7573913043478262,0.01565217391304352,35,True
19,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7436290487525478,0.005609018164320467,0.7417391304347827,0.7473913043478262,0.005652173913043512,37,True
20,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7464857497061658,0.008465719117938475,0.7417391304347827,0.7504347826086957,0.008695652173912993,35,True
21,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.745203777447308,0.007183746859080742,0.7417391304347827,0.7495652173913043,0.00782608695652165,37,True
22,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7503006094468047,0.012280578858577362,0.7417391304347827,0.7534782608695653,0.011739130434782585,35,True
23,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7534669100416825,0.015446879453455242,0.7417391304347827,0.757391304347826,0.0156521739130433,36,True
24,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7554842546630544,0.01746422407482706,0.7417391304347827,0.7591304347826086,0.017391304347825876,36,True
25,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7558992274256179,0.017879196837390587,0.7417391304347827,0.7591304347826086,0.017391304347825876,34,True
26,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7509192935858163,0.012899262997589034,0.7417391304347827,0.7539130434782607,0.012173913043478035,36,True
27,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7506554511515422,0.012635420563314903,0.7417391304347827,0.7547826086956523,0.013043478260869601,37,True
28,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7556194610128387,0.01759943042461143,0.7417391304347827,0.7591304347826088,0.017391304347826098,35,True
29,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7499990639496114,0.011979033361384062,0.7417391304347827,0.7534782608695653,0.011739130434782585,37,True
30,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7565146381532033,0.018494607564976007,0.7417391304347827,0.7604347826086956,0.01869565217391289,34,True
31,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7456636816734962,0.007643651085268877,0.7417391304347827,0.7491304347826088,0.007391304347826089,36,True
32,20260822,228,2,213,True,True,True,True,True,0.7380200305882273,0.7532086174987221,0.01518858691049485,0.7417391304347827,0.7569565217391306,0.01521739130434796,40,True
33,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7531386881091157,0.015118657520888368,0.7417391304347827,0.7565217391304347,0.014782608695652066,35,True
34,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7498450896150508,0.011825059026823515,0.7417391304347827,0.7534782608695653,0.011739130434782585,35,True
35,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7521603067926875,0.014140276204460234,0.7417391304347827,0.7556521739130436,0.013913043478260945,34,True
36,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7463190126356466,0.008298982047419301,0.7417391304347827,0.7504347826086957,0.008695652173912993,34,True
37,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7529484909301957,0.014928460341968375,0.7417391304347827,0.7565217391304349,0.014782608695652177,34,True
38,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7519625535265959,0.013942522938368618,0.7417391304347827,0.7560869565217392,0.014347826086956506,38,True
39,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7541668920361531,0.016146861447925764,0.7417391304347827,0.7578260869565219,0.016086956521739193,37,True
40,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7526071023641421,0.014587071775914784,0.7417391304347827,0.7565217391304347,0.014782608695652066,35,True
41,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7543483121279363,0.016328281539709,0.7417391304347827,0.7578260869565218,0.016086956521739082,35,True
42,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7534968259998027,0.015476795411575428,0.7417391304347827,0.7569565217391304,0.015217391304347738,36,True
43,20260822,228,2,198,True,True,True,True,True,0.7380200305882273,0.7542714270750935,0.016251396486866243,0.7417391304347827,0.7582608695652173,0.016521739130434643,34,True
44,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7586725627201458,0.020652532131918533,0.7417391304347827,0.7617391304347826,0.019999999999999907,32,True
45,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7476304833259771,0.009610452737749853,0.7417391304347827,0.7513043478260871,0.009565217391304448,36,True
46,20260822,228,2,199,True,True,True,True,True,0.7380200305882273,0.7491827825351551,0.01116275194692784,0.7417391304347827,0.7521739130434782,0.01043478260869557,35,True
47,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.753204052993686,0.015184022405458686,0.7417391304347827,0.7565217391304349,0.014782608695652177,34,True
48,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7454716181268999,0.007451587538672588,0.7417391304347827,0.748695652173913,0.006956521739130306,33,True
49,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7486267123736748,0.010606681785447547,0.7417391304347827,0.7526086956521738,0.01086956521739113,33,True
50,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.748712154820677,0.010692124232449696,0.7417391304347827,0.7526086956521738,0.01086956521739113,35,True
51,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7530120714813869,0.014992040893159642,0.7417391304347827,0.7569565217391303,0.015217391304347627,33,True
52,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7512903142707511,0.013270283682523809,0.7417391304347827,0.7543478260869564,0.012608695652173707,39,True
53,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7506671700327037,0.012647139444476374,0.7417391304347827,0.7539130434782608,0.012173913043478146,35,True
54,20260822,228,2,197,True,True,True,True,True,0.7380200305882273,0.7533891092230433,0.015369078634815958,0.7417391304347827,0.7565217391304347,0.014782608695652066,36,True
55,20260822,228,2,214,True,True,True,True,True,0.7380200305882273,0.758800727848947,0.020780697260719738,0.7417391304347827,0.7621739130434781,0.020434782608695468,34,True
56,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7579060263228314,0.019885995734604145,0.7417391304347827,0.7613043478260869,0.019565217391304235,36,True
57,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7518923307073885,0.013872300119161185,0.7417391304347827,0.7556521739130437,0.013913043478261056,35,True
58,20260822,228,2,215,True,True,True,True,True,0.7380200305882273,0.7471395888813701,0.009119558293142815,0.7417391304347827,0.7508695652173912,0.009130434782608554,35,True
59,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7508330150598795,0.012812984471652245,0.7417391304347827,0.7543478260869564,0.012608695652173707,36,True
