fold,representation,train_rows,test_rows,n_features,macro_f1,balanced_accuracy,iterations,converged
0,L,1841,459,384,0.7912146863165918,0.7954233409610983,37,True
0,L_plus_G,1841,459,398,0.7856811196269367,0.7911899313501145,35,True
1,L,1840,460,384,0.7196621456686896,0.7282608695652172,34,True
1,L_plus_G,1840,460,398,0.7389218295541461,0.7478260869565218,38,True
2,L,1839,461,384,0.7171117763117103,0.7247412008281573,35,True
2,L_plus_G,1839,461,398,0.7118946091312727,0.7202898550724638,34,True
3,L,1840,460,384,0.7248022265521618,0.7391304347826085,33,True
3,L_plus_G,1840,460,398,0.7098747025172827,0.7239130434782608,28,True
4,L,1840,460,384,0.7138118434557247,0.7217391304347827,31,True
4,L_plus_G,1840,460,398,0.7209215539158166,0.7282608695652174,31,True
