base_axis_deg,rotation_deg,magnitude_error,doubled_angle_vector_error
0.0,-90.0,0.0,3.3744794521490037e-16
0.0,-60.0,5.551115123125783e-17,7.447602459741819e-16
0.0,-45.0,0.0,3.3744794521490037e-16
0.0,-30.0,0.0,1.1102230246251565e-16
0.0,-15.0,0.0,6.473657049138938e-16
0.0,15.0,0.0,5.551115123125783e-17
0.0,30.0,0.0,1.1102230246251565e-16
0.0,45.0,0.0,9.251858538542974e-17
0.0,60.0,0.0,5.551115123125783e-17
0.0,90.0,0.0,9.251858538542974e-17
11.0,-90.0,0.0,1.1102230246251565e-16
11.0,-60.0,5.551115123125783e-17,5.389157964038493e-16
11.0,-45.0,0.0,1.1102230246251565e-16
11.0,-30.0,5.551115123125783e-17,1.1102230246251565e-16
11.0,-15.0,0.0,4.847302891456678e-16
11.0,15.0,5.551115123125783e-17,0.0
11.0,30.0,5.551115123125783e-17,1.1102230246251565e-16
11.0,45.0,0.0,1.1102230246251565e-16
11.0,60.0,5.551115123125783e-17,1.1102230246251565e-16
11.0,90.0,5.551115123125783e-17,3.510833468576701e-16
37.0,-90.0,0.0,2.0014830212433605e-16
37.0,-60.0,0.0,2.482534153247273e-16
37.0,-45.0,0.0,1.6653345369377348e-16
37.0,-30.0,5.551115123125783e-17,2.237726045655905e-16
37.0,-15.0,0.0,0.0
37.0,15.0,5.551115123125783e-17,1.1102230246251565e-16
37.0,30.0,5.551115123125783e-17,3.1401849173675503e-16
37.0,45.0,0.0,0.0
37.0,60.0,5.551115123125783e-17,5.117875266520903e-16
37.0,90.0,5.551115123125783e-17,4.965068306494546e-16
71.0,-90.0,0.0,1.5700924586837752e-16
71.0,-60.0,0.0,0.0
71.0,-45.0,0.0,1.5700924586837752e-16
71.0,-30.0,0.0,0.0
71.0,-15.0,0.0,5.551115123125783e-17
71.0,15.0,0.0,3.0531133177191805e-16
71.0,30.0,0.0,2.482534153247273e-16
71.0,45.0,0.0,4.002966042486721e-16
71.0,60.0,5.551115123125783e-17,1.3877787807814457e-16
71.0,90.0,0.0,4.710277376051325e-16
123.0,-90.0,0.0,0.0
123.0,-60.0,0.0,1.1102230246251565e-16
123.0,-45.0,0.0,4.47545209131181e-16
123.0,-30.0,0.0,2.498001805406602e-16
123.0,-15.0,0.0,3.510833468576701e-16
123.0,15.0,0.0,5.525032997054197e-16
123.0,30.0,0.0,2.482534153247273e-16
123.0,45.0,0.0,1.1102230246251565e-16
123.0,60.0,0.0,0.0
123.0,90.0,0.0,1.1102230246251565e-16
169.0,-90.0,0.0,0.0
169.0,-60.0,0.0,4.002966042486721e-16
169.0,-45.0,0.0,0.0
169.0,-30.0,0.0,2.220446049250313e-16
169.0,-15.0,0.0,4.710277376051325e-16
169.0,15.0,5.551115123125783e-17,1.1102230246251565e-16
169.0,30.0,0.0,0.0
169.0,45.0,0.0,1.1102230246251565e-16
169.0,60.0,0.0,5.551115123125783e-17
169.0,90.0,5.551115123125783e-17,2.220446049250313e-16
