repeat_index,seed,fold_assignment_sha256,matches_canonical_fold_array_exactly,fold_row_counts,fold_identity_counts,all_2300_rows_assigned_once,all_230_identities_in_one_test_fold,zero_group_overlap_each_fold,macro_f1_L,macro_f1_G,macro_f1_L_plus_G,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_G,balanced_accuracy_L_plus_G,delta_balanced_accuracy,max_iterations_L,max_iterations_G,max_iterations_L_plus_G,converged_L,converged_G,converged_L_plus_G
1,20260823,4c15b38da8bb638d8b2b88f7fbab339914869c6a496ba1cf023503762e0cd604,False,"[460, 461, 459, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7433276463601696,0.1707592447013765,0.748745336202883,0.005417689842713402,0.7478260869565218,0.18304347826086956,0.7526086956521738,0.0047826086956520575,36,50,35,True,True,True
2,20260824,2fd32e737af82a1c52febec99a5016304d1828f02b17db00e7e307810adfda73,False,"[460, 461, 459, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7539061447537334,0.1774651341274815,0.7613634468368431,0.007457302083109685,0.7556521739130434,0.18869565217391304,0.7630434782608697,0.007391304347826311,36,49,35,True,True,True
3,20260825,b170d9132b74d960301de69ce7aaeefd236e87c0a99f24065878267283dd7493,False,"[460, 460, 461, 459, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7342727258095233,0.17036205395007692,0.739333593541208,0.005060867731684682,0.7391304347826086,0.1852173913043478,0.7434782608695653,0.004347826086956608,37,49,38,True,True,True
4,20260826,b21d9cb1b2ef788e3450c1b1f9fabe0895504601e7cb0edb079822193f957fa2,False,"[460, 460, 459, 460, 461]","[46, 46, 46, 46, 46]",True,True,True,0.7488706855709407,0.1749520627735353,0.7522905685028738,0.0034198829319330715,0.7547826086956522,0.18869565217391307,0.7578260869565218,0.003043478260869592,36,49,37,True,True,True
5,20260827,8ac97fd283332739664289f4371a20a254b7a4d519239f2bf4b5e61e015c61f4,False,"[460, 461, 459, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7339172080728871,0.16518841011992635,0.7348412316801172,0.0009240236072300956,0.7404347826086957,0.1782608695652174,0.7404347826086956,-1.1102230246251565e-16,40,53,37,True,True,True
6,20260828,5d4dc0215f0b4b3efe7f349ac81e1626091445fc28b6a1840de67ab8b83bc9bd,False,"[459, 460, 460, 460, 461]","[46, 46, 46, 46, 46]",True,True,True,0.7293432285495014,0.16972962458005675,0.7302965883685641,0.000953359819062749,0.7347826086956522,0.17956521739130438,0.7352173913043478,0.00043478260869567187,36,49,35,True,True,True
7,20260829,fffae158261710418b6072e8719822a9efa8396907e14871d8ba62066f38a876,False,"[460, 460, 461, 460, 459]","[46, 46, 46, 46, 46]",True,True,True,0.7338292113981918,0.1742830063278518,0.7462060606741849,0.01237684927599314,0.7373913043478261,0.1865217391304348,0.7495652173913041,0.012173913043478035,35,52,37,True,True,True
8,20260830,c4f2b5828602dc863a240a4563556bff8234ebea54ea556ab32c09ae85031c66,False,"[460, 460, 460, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7496421061615027,0.17225560434094483,0.7485196721091375,-0.0011224340523652288,0.7543478260869564,0.1826086956521739,0.7521739130434781,-0.0021739130434782483,37,51,37,True,True,True
9,20260831,c9b314600dfb6668307748f925f84c1202bd712ef099c39302fa1e3c5cddfdc1,False,"[460, 460, 461, 460, 459]","[46, 46, 46, 46, 46]",True,True,True,0.7479493576846518,0.1773177884273678,0.7496662868784973,0.0017169291938455844,0.7508695652173912,0.19,0.7526086956521738,0.0017391304347825765,36,51,36,True,True,True
10,20260832,e6f03689a63545df339249e80150f449cebd577ba2b7fe4dddc95e1126171602,False,"[460, 460, 460, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7432886543160732,0.17903654053666487,0.7500189882688317,0.0067303339527585715,0.7486956521739131,0.19130434782608696,0.7552173913043478,0.006521739130434745,37,54,38,True,True,True
11,20260833,20fdf7ddaae157b3a377d36544cfd7d5502c2e7b7375a53cd203866a1b28ba5c,False,"[461, 460, 460, 459, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7349489130240583,0.17075397202597226,0.7371939669940382,0.002245053969979871,0.7421739130434782,0.18478260869565222,0.743913043478261,0.0017391304347827985,35,50,37,True,True,True
12,20260834,4b679f68cbd8f31ab3b2c1cc84ca31b9c608ae17c8c13e2d9295be19330c5194,False,"[460, 460, 460, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7427969685186389,0.18645998648774106,0.7401080580191299,-0.002688910499508923,0.7469565217391303,0.19695652173913045,0.7434782608695653,-0.003478260869565042,39,50,37,True,True,True
13,20260835,8615093d4c5f126f44c920752689c2213f7fbd7163b50d07eca2c8af20b44f30,False,"[460, 460, 461, 459, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7455444083443806,0.17416125319469916,0.7397301367411543,-0.00581427160322634,0.7495652173913043,0.18652173913043482,0.7439130434782608,-0.005652173913043512,37,51,36,True,True,True
14,20260836,b7b49b8f8152e0fdbf525901d6c2716fe3584991ab13c38d2789f349f26abac2,False,"[460, 461, 460, 459, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7539490832121153,0.1817945344494441,0.7568655391043105,0.0029164558921952466,0.7595652173913044,0.19391304347826085,0.7621739130434781,0.002608695652173698,38,50,35,True,True,True
15,20260837,308fb32e77afecba4fa729e44079a651148ddd76f5f4d3c54a34acb466c31b76,False,"[459, 460, 460, 461, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7472404638336548,0.18153338668541624,0.7494724448525475,0.002231981018892659,0.7530434782608696,0.19434782608695655,0.7547826086956522,0.0017391304347825765,37,49,34,True,True,True
16,20260838,0a33fa1f0255e1164d432a2e82281f5b179820a05e264b1166c7d6e339ee5ac9,False,"[460, 460, 461, 459, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7423754017905964,0.1676422195508651,0.7437270631246508,0.0013516613340543993,0.7469565217391304,0.17956521739130435,0.7482608695652174,0.0013043478260870156,35,49,38,True,True,True
17,20260839,d5963d27f21a1ee1df9aa4bc80dbc9b728d44fdbd01b56bf488bd4232e038c23,False,"[460, 460, 460, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7471387146616045,0.18247886934008611,0.7611932750130089,0.0140545603514044,0.7517391304347825,0.19347826086956524,0.7652173913043477,0.013478260869565273,35,53,35,True,True,True
18,20260840,2598f18f7738c873ccb4467a70d9c8c24b6a05ce961de3d41ba4b694d0eb0fe1,False,"[460, 459, 461, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7328472435913652,0.16789322862654582,0.7422243793172705,0.009377135725905261,0.7378260869565219,0.1791304347826087,0.7469565217391304,0.009130434782608554,36,49,37,True,True,True
19,20260841,0f42b8473b17ba99ab10de1c073e6572580e9ca0cd11cd96115a3130737b4b6b,False,"[461, 460, 459, 460, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7308756730035226,0.1728130421791597,0.7418306343137051,0.010954961310182476,0.7360869565217389,0.18478260869565222,0.7460869565217392,0.010000000000000231,35,52,36,True,True,True
20,20260842,e91ea60633a33d702c6e7f3066169c4bb329dccbb980464cafb51ea54a5c1cfb,False,"[459, 460, 460, 461, 460]","[46, 46, 46, 46, 46]",True,True,True,0.7459287681252497,0.17079027268971037,0.7469144598736649,0.0009856917484152294,0.7499999999999999,0.1839130434782609,0.7504347826086956,0.00043478260869567187,36,48,38,True,True,True
