fold,representation,train_rows,test_rows,n_features,macro_f1,balanced_accuracy,iterations,converged
0,M,1841,459,135,0.27895111497872926,0.2921052631578948,130,True
0,M_plus_G,1841,459,149,0.30746854943645086,0.3273455377574371,125,True
1,M,1840,460,135,0.326859854709675,0.3282608695652174,131,True
1,M_plus_G,1840,460,149,0.3444505002445671,0.34130434782608693,129,True
2,M,1839,461,135,0.2957078073079341,0.30828157349896473,125,True
2,M_plus_G,1839,461,149,0.32874777782593667,0.3365424430641822,124,True
3,M,1840,460,135,0.28021696458984796,0.2847826086956522,132,True
3,M_plus_G,1840,460,149,0.2939026406240589,0.29130434782608694,126,True
4,M,1840,460,135,0.26616844189157046,0.2695652173913043,128,True
4,M_plus_G,1840,460,149,0.31057968984314704,0.308695652173913,119,True
